island_id,pixel_area,bbox_x0,bbox_y0,bbox_x1,bbox_y1,centroid_u,centroid_v,root_to_tip_u,root_to_tip_v,face_count,mesh_names,part_counts,category_counts
63,6301,1638,1011,1695,1307,0.8155169,0.4417092,-0.071811,-0.9974183,28,pasted__pasted__polySurface26Shape,"{""braid"":28}","{""left_braid_low"":3,""left_braid_mid"":11,""right_braid_low"":3,""right_braid_mid"":11}"
64,6827,1779,1016,1816,1295,0.8757652,0.4357739,-0.00502,0.9999874,22,pasted__pasted__polySurface26Shape,"{""braid"":22}","{""left_braid_low"":11,""right_braid_low"":11}"
65,4299,1722,1017,1740,1316,0.8447973,0.4259948,0.0042734,-0.9999909,20,pasted__pasted__polySurface26Shape,"{""braid"":20}","{""left_braid_low"":2,""left_braid_mid"":8,""right_braid_low"":2,""right_braid_mid"":8}"
66,1440,1976,1025,1996,1144,0.9699991,0.4709877,-0.0412955,-0.999147,36,pasted__pasted__polySurface26Shape,"{""braid"":36}","{""left_braid_mid"":10,""left_braid_top"":8,""right_braid_mid"":10,""right_braid_top"":8}"
67,1862,2016,1026,2038,1165,0.9887011,0.4697816,0.0600669,0.9981944,12,pasted__pasted__polySurface26Shape,"{""braid"":12}","{""left_braid_top"":6,""right_braid_top"":6}"
68,5491,1843,1049,1903,1278,0.9099895,0.4437861,-0.0890235,-0.9960295,36,pasted__pasted__polySurface26Shape,"{""braid"":36}","{""left_braid_top"":18,""right_braid_top"":18}"
69,2380,1914,1053,1934,1285,0.9381536,0.4323131,-0.0081794,-0.9999665,26,pasted__pasted__polySurface26Shape,"{""braid"":26}","{""left_braid_top"":13,""right_braid_top"":13}"
70,11460,1415,1078,1504,1318,0.7137222,0.432413,0.0181223,-0.9998358,8,polySurfaceShape68,"{""braid"":8}","{""left_braid_end"":8}"
71,2529,1357,1090,1377,1298,0.6678158,0.4219553,0.0132193,0.9999126,6,polySurfaceShape68,"{""braid"":6}","{""left_braid_end"":6}"
72,6849,1264,1102,1335,1311,0.6385205,0.426981,0.0894317,-0.995993,8,polySurfaceShape68,"{""braid"":8}","{""left_braid_end"":8}"
73,1187,1963,1176,1988,1306,0.965183,0.397365,-0.1349933,-0.9908465,28,pasted__pasted__polySurface26Shape,"{""braid"":28}","{""left_braid_low"":12,""left_braid_mid"":2,""right_braid_low"":12,""right_braid_mid"":2}"
74,40,2027,1246,2031,1259,0.9916097,0.3880923,-0.0159698,-0.9998725,2,pasted__pasted__polySurface26Shape,"{""braid"":2}","{""left_braid_mid"":1,""right_braid_mid"":1}"
75,38,2035,1254,2045,1265,0.9969275,0.3850693,0.6102142,-0.7922365,4,pasted__pasted__polySurface26Shape,"{""braid"":4}","{""left_braid_low"":2,""right_braid_low"":2}"
76,67092,826,1337,944,2038,0.4338574,0.1951143,0.0162059,-0.9998687,24,polySurface80Shape,"{""side"":24}","{""side_right"":18,""side_right_upper"":6}"
77,25324,1669,1338,1894,1530,0.8558691,0.2929194,0.6966201,-0.7174402,82,pasted__pasted__pasted__pasted__polySurface94Shape,"{""braid"":82}","{""left_braid_end"":41,""right_braid_end"":41}"
78,52707,558,1347,663,2019,0.2987359,0.1977102,0.00526,-0.9999862,24,polySurface80Shape,"{""side"":24}","{""side_right"":6,""side_right_upper"":8,""side_top_bridge"":10}"
